time,carrier,scenario,substance,region,technology,value
2020,sldg,high_env_pol,car,DE,nof,0.0
2020,sldg,high_env_pol,car,DE,aop,0.0
2020,sldg,high_env_pol,car,DE,o3,0.0
2020,sldg,high_env_pol,car,DE,gac,0.0
2020,sldg,high_env_pol,cec,DE,nof,0.0
2020,sldg,high_env_pol,cec,DE,aop,0.0
2020,sldg,high_env_pol,cec,DE,o3,0.0
2020,sldg,high_env_pol,cec,DE,gac,0.0
2020,sldg,low_env_pol,car,DE,nof,0.0
2020,sldg,low_env_pol,car,DE,aop,0.0
2020,sldg,low_env_pol,car,DE,o3,0.0
2020,sldg,low_env_pol,car,DE,gac,0.0
2020,sldg,low_env_pol,cec,DE,nof,0.0
2020,sldg,low_env_pol,cec,DE,aop,0.0
2020,sldg,low_env_pol,cec,DE,o3,0.0
2020,sldg,low_env_pol,cec,DE,gac,0.0
2020,wtr,high_env_pol,car,DE,nof,9067191757.94738
2020,wtr,high_env_pol,car,DE,aop,0.0
2020,wtr,high_env_pol,car,DE,o3,119832996.94291961
2020,wtr,high_env_pol,car,DE,gac,119832996.94291961
2020,wtr,high_env_pol,cec,DE,nof,1757.2136725294808
2020,wtr,high_env_pol,cec,DE,aop,0.0
2020,wtr,high_env_pol,cec,DE,o3,23.22352788708981
2020,wtr,high_env_pol,cec,DE,gac,23.22352788708981
2020,wtr,low_env_pol,car,DE,nof,9067191757.94738
2020,wtr,low_env_pol,car,DE,aop,0.0
2020,wtr,low_env_pol,car,DE,o3,119832996.94291961
2020,wtr,low_env_pol,car,DE,gac,119832996.94291961
2020,wtr,low_env_pol,cec,DE,nof,1757.2136725294808
2020,wtr,low_env_pol,cec,DE,aop,0.0
2020,wtr,low_env_pol,cec,DE,o3,23.22352788708981
2020,wtr,low_env_pol,cec,DE,gac,23.22352788708981
2020,oxi_con,high_env_pol,car,DE,nof,0.0
2020,oxi_con,high_env_pol,car,DE,aop,0.0
2020,oxi_con,high_env_pol,car,DE,o3,0.0
2020,oxi_con,high_env_pol,car,DE,gac,0.0
2020,oxi_con,high_env_pol,cec,DE,nof,0.0
2020,oxi_con,high_env_pol,cec,DE,aop,0.0
2020,oxi_con,high_env_pol,cec,DE,o3,0.0
2020,oxi_con,high_env_pol,cec,DE,gac,0.0
2020,oxi_con,low_env_pol,car,DE,nof,0.0
2020,oxi_con,low_env_pol,car,DE,aop,0.0
2020,oxi_con,low_env_pol,car,DE,o3,0.0
2020,oxi_con,low_env_pol,car,DE,gac,0.0
2020,oxi_con,low_env_pol,cec,DE,nof,0.0
2020,oxi_con,low_env_pol,cec,DE,aop,0.0
2020,oxi_con,low_env_pol,cec,DE,o3,0.0
2020,oxi_con,low_env_pol,cec,DE,gac,0.0
2035,sldg,high_env_pol,car,DE,nof,0.0
2035,sldg,high_env_pol,car,DE,aop,0.0
2035,sldg,high_env_pol,car,DE,o3,0.0
2035,sldg,high_env_pol,car,DE,gac,0.0
