(Unknown);treatment of wastewater, average, wastewater treatment;1;cubic meter;ecoinvent-3.11-cutoff;none;Europe without Switzerland;technosphere;wastewater, average;0;(Unknown);(Unknown);(Unknown);(Unknown);(Unknown)
;;;;;;;;;;;;;;
Activity;transport of sludge to incineration;;;;;;;;;;;;;
code;trans_sldg_to_inc;;;;;;;;;;;;;
location;RER;;;;;;;;;;;;;
amount;1;;;;;;;;;;;;;
type;process;;;;;;;;;;;;;
unit;metric ton kilometer;;;;;;;;;;;;;
reference product;transport, freight, lorry, diesel, unspecified;;;;;;;;;;;;;
Exchanges;;;;;;;;;;;;;;
code;name;amount;unit;database;categories;location;type;reference product;uncertainty type;loc;scale;shape;minimum;maximum
trans_sldg_to_inc;transport of sludge to incineration;1;metric ton kilometer;paw_db;None;RER;production;transport, freight, lorry, diesel, unspecified;0;(Unknown);(Unknown);(Unknown);(Unknown);(Unknown)
